meter,date,time,kw
85400796,2024-01-01,00:15:00.000,0.052
85400796,2024-01-01,00:30:00.000,0.052
85400796,2024-01-01,00:45:00.000,0.052
85400796,2024-01-01,01:00:00.000,2.888
85400796,2024-01-01,01:15:00.000,0.144
85400796,2024-01-01,01:30:00.000,0.152
85400796,2024-01-01,01:45:00.000,0.072
85400796,2024-01-01,02:00:00.000,0.052
85400796,2024-01-01,02:15:00.000,0.716
85400796,2024-01-01,02:30:00.000,2.224
85400796,2024-01-01,02:45:00.000,0.052
85400796,2024-01-01,03:00:00.000,0.052
85400796,2024-01-01,03:15:00.000,0.052
85400796,2024-01-01,03:30:00.000,2.876
85400796,2024-01-01,03:45:00.000,0.14
85400796,2024-01-01,04:00:00.000,0.148
85400796,2024-01-01,04:15:00.000,0.092
85400796,2024-01-01,04:30:00.000,0.052
85400796,2024-01-01,04:45:00.000,3.056
85400796,2024-01-01,05:00:00.000,0.052
85400796,2024-01-01,05:15:00.000,0.052
85400796,2024-01-01,05:30:00.000,0.048
85400796,2024-01-01,05:45:00.000,3.056
85400796,2024-01-01,06:00:00.000,0.052
85400796,2024-01-01,06:15:00.000,0.152
85400796,2024-01-01,06:30:00.000,0.148
85400796,2024-01-01,06:45:00.000,2.88
85400796,2024-01-01,07:00:00.000,0.052
85400796,2024-01-01,07:15:00.000,0.052
85400796,2024-01-01,07:30:00.000,1.056
85400796,2024-01-01,07:45:00.000,2.044
85400796,2024-01-01,08:00:00.000,0.048
85400796,2024-01-01,08:15:00.000,0.052
85400796,2024-01-01,08:30:00.000,2.904
85400796,2024-01-01,08:45:00.000,0.152
85400796,2024-01-01,09:00:00.000,0.1
85400796,2024-01-01,09:15:00.000,0.052
85400796,2024-01-01,09:30:00.000,2.82
85400796,2024-01-01,09:45:00.000,0.052
85400796,2024-01-01,10:00:00.000,0.052
85400796,2024-01-01,10:15:00.000,0.668
85400796,2024-01-01,10:30:00.000,2.18
85400796,2024-01-01,10:45:00.000,0.068
85400796,2024-01-01,11:00:00.000,0.152
85400796,2024-01-01,11:15:00.000,0.144
85400796,2024-01-01,11:30:00.000,1.776
85400796,2024-01-01,11:45:00.000,1.076
85400796,2024-01-01,12:00:00.000,0.048
85400796,2024-01-01,12:15:00.000,0.052
85400796,2024-01-01,12:30:00.000,0.052
85400796,2024-01-01,12:45:00.000,1.784
85400796,2024-01-01,13:00:00.000,0.952
85400796,2024-01-01,13:15:00.000,0.152
85400796,2024-01-01,13:30:00.000,0.1
85400796,2024-01-01,13:45:00.000,0.052
85400796,2024-01-01,14:00:00.000,0.052
85400796,2024-01-01,14:15:00.000,1.952
85400796,2024-01-01,14:30:00.000,2.744
85400796,2024-01-01,14:45:00.000,0.048
85400796,2024-01-01,15:00:00.000,0.068
85400796,2024-01-01,15:15:00.000,0.148
85400796,2024-01-01,15:30:00.000,0.132
85400796,2024-01-01,15:45:00.000,0.052
85400796,2024-01-01,16:00:00.000,0.052
85400796,2024-01-01,16:15:00.000,0.048
85400796,2024-01-01,16:30:00.000,0.052
85400796,2024-01-01,16:45:00.000,0.052
85400796,2024-01-01,17:00:00.000,0.048
85400796,2024-01-01,17:15:00.000,2.04
85400796,2024-01-01,17:30:00.000,1.188
85400796,2024-01-01,17:45:00.000,0.104
85400796,2024-01-01,18:00:00.000,0.052
85400796,2024-01-01,18:15:00.000,0.048
85400796,2024-01-01,18:30:00.000,0.052
85400796,2024-01-01,18:45:00.000,0.052
85400796,2024-01-01,19:00:00.000,2.348
85400796,2024-01-01,19:15:00.000,0.708
85400796,2024-01-01,19:30:00.000,0.112
85400796,2024-01-01,19:45:00.000,0.148
85400796,2024-01-01,20:00:00.000,0.096
85400796,2024-01-01,20:15:00.000,0.052
85400796,2024-01-01,20:30:00.000,0.048
85400796,2024-01-01,20:45:00.000,3.028
85400796,2024-01-01,21:00:00.000,0.052
85400796,2024-01-01,21:15:00.000,0.052
85400796,2024-01-01,21:30:00.000,0.064
85400796,2024-01-01,21:45:00.000,0.152
85400796,2024-01-01,22:00:00.000,0.124
85400796,2024-01-01,22:15:00.000,2.86
85400796,2024-01-01,22:30:00.000,0.052
85400796,2024-01-01,22:45:00.000,0.052
85400796,2024-01-01,23:00:00.000,0.048
85400796,2024-01-01,23:15:00.000,0.056
85400796,2024-01-01,23:30:00.000,2.86
85400796,2024-01-01,23:45:00.000,0.076
85400796,2024-01-02,00:00:00.000,0.152
85400796,2024-01-02,00:15:00.000,0.124
85400796,2024-01-02,00:30:00.000,2.592
85400796,2024-01-02,00:45:00.000,0.34
85400796,2024-01-02,01:00:00.000,0.052
85400796,2024-01-02,01:15:00.000,0.048
85400796,2024-01-02,01:30:00.000,3.072
85400796,2024-01-02,01:45:00.000,0.052
85400796,2024-01-02,02:00:00.000,0.132
85400796,2024-01-02,02:15:00.000,0.148
85400796,2024-01-02,02:30:00.000,1.284
85400796,2024-01-02,02:45:00.000,1.664
85400796,2024-01-02,03:00:00.000,0.052
85400796,2024-01-02,03:15:00.000,0.052
85400796,2024-01-02,03:30:00.000,2.204
85400796,2024-01-02,03:45:00.000,0.716
85400796,2024-01-02,04:00:00.000,2.268
85400796,2024-01-02,04:15:00.000,0.152
85400796,2024-01-02,04:30:00.000,2.76
85400796,2024-01-02,04:45:00.000,0.052
85400796,2024-01-02,05:00:00.000,0.048
85400796,2024-01-02,05:15:00.000,0.052
85400796,2024-01-02,05:30:00.000,3.052
85400796,2024-01-02,05:45:00.000,0.052
85400796,2024-01-02,06:00:00.000,0.048
85400796,2024-01-02,06:15:00.000,2.76
85400796,2024-01-02,06:30:00.000,0.136
85400796,2024-01-02,06:45:00.000,0.052
85400796,2024-01-02,07:00:00.000,1.248
85400796,2024-01-02,07:15:00.000,1.792
85400796,2024-01-02,07:30:00.000,0.048
85400796,2024-01-02,07:45:00.000,0.052
85400796,2024-01-02,08:00:00.000,3.156
85400796,2024-01-02,08:15:00.000,0.092
85400796,2024-01-02,08:30:00.000,0.148
85400796,2024-01-02,08:45:00.000,2.84
85400796,2024-01-02,09:00:00.000,0.048
85400796,2024-01-02,09:15:00.000,0.052
85400796,2024-01-02,09:30:00.000,2.764
85400796,2024-01-02,09:45:00.000,0.052
85400796,2024-01-02,10:00:00.000,0.048
85400796,2024-01-02,10:15:00.000,2.772
85400796,2024-01-02,10:30:00.000,0.136
85400796,2024-01-02,10:45:00.000,0.148
85400796,2024-01-02,11:00:00.000,2.956
85400796,2024-01-02,11:15:00.000,0.052
85400796,2024-01-02,11:30:00.000,0.048
85400796,2024-01-02,11:45:00.000,0.052
85400796,2024-01-02,12:00:00.000,2.784
85400796,2024-01-02,12:15:00.000,0.052
85400796,2024-01-02,12:30:00.000,0.104
85400796,2024-01-02,12:45:00.000,0.148
85400796,2024-01-02,13:00:00.000,0.088
85400796,2024-01-02,13:15:00.000,2.78
85400796,2024-01-02,13:30:00.000,0.052
85400796,2024-01-02,13:45:00.000,0.048
85400796,2024-01-02,14:00:00.000,0.052
85400796,2024-01-02,14:15:00.000,2.432
