meter,date,time,kw
82446550,2024-08-01,00:15:00.000,0.9
82446550,2024-08-01,00:30:00.000,0.168
82446550,2024-08-01,00:45:00.000,0.156
82446550,2024-08-01,01:00:00.000,0.148
82446550,2024-08-01,01:15:00.000,0.228
82446550,2024-08-01,01:30:00.000,0.656
82446550,2024-08-01,01:45:00.000,0.484
82446550,2024-08-01,02:00:00.000,0.152
82446550,2024-08-01,02:15:00.000,0.244
82446550,2024-08-01,02:30:00.000,0.204
82446550,2024-08-01,02:45:00.000,0.148
82446550,2024-08-01,03:00:00.000,0.148
82446550,2024-08-01,03:15:00.000,0.244
82446550,2024-08-01,03:30:00.000,0.18
82446550,2024-08-01,03:45:00.000,0.148
82446550,2024-08-01,04:00:00.000,0.172
82446550,2024-08-01,04:15:00.000,0.244
82446550,2024-08-01,04:30:00.000,0.16
82446550,2024-08-01,04:45:00.000,0.148
82446550,2024-08-01,05:00:00.000,0.18
82446550,2024-08-01,05:15:00.000,0.244
82446550,2024-08-01,05:30:00.000,0.16
82446550,2024-08-01,05:45:00.000,0.152
82446550,2024-08-01,06:00:00.000,0.184
82446550,2024-08-01,06:15:00.000,0.312
82446550,2024-08-01,06:30:00.000,0.196
82446550,2024-08-01,06:45:00.000,0.16
82446550,2024-08-01,07:00:00.000,0.18
82446550,2024-08-01,07:15:00.000,0.208
82446550,2024-08-01,07:30:00.000,0.128
82446550,2024-08-01,07:45:00.000,0.152
82446550,2024-08-01,08:00:00.000,0.16
82446550,2024-08-01,08:15:00.000,0.14
82446550,2024-08-01,08:30:00.000,0.148
82446550,2024-08-01,08:45:00.000,0.18
82446550,2024-08-01,09:00:00.000,0.216
82446550,2024-08-01,09:15:00.000,0.184
82446550,2024-08-01,09:30:00.000,0.144
82446550,2024-08-01,09:45:00.000,0.14
82446550,2024-08-01,10:00:00.000,0.236
82446550,2024-08-01,10:15:00.000,0.312
82446550,2024-08-01,10:30:00.000,0.204
82446550,2024-08-01,10:45:00.000,0.204
82446550,2024-08-01,11:00:00.000,0.328
82446550,2024-08-01,11:15:00.000,0.264
82446550,2024-08-01,11:30:00.000,0.236
82446550,2024-08-01,11:45:00.000,0.236
82446550,2024-08-01,12:00:00.000,1.084
82446550,2024-08-01,12:15:00.000,0.968
82446550,2024-08-01,12:30:00.000,0.304
82446550,2024-08-01,12:45:00.000,0.824
82446550,2024-08-01,13:00:00.000,0.58
82446550,2024-08-01,13:15:00.000,0.168
82446550,2024-08-01,13:30:00.000,1.412
82446550,2024-08-01,13:45:00.000,1.12
82446550,2024-08-01,14:00:00.000,3.14
82446550,2024-08-01,14:15:00.000,1.4
82446550,2024-08-01,14:30:00.000,1.568
82446550,2024-08-01,14:45:00.000,0.7
82446550,2024-08-01,15:00:00.000,0.916
82446550,2024-08-01,15:15:00.000,1.092
82446550,2024-08-01,15:30:00.000,0.972
82446550,2024-08-01,15:45:00.000,1.46
82446550,2024-08-01,16:00:00.000,1.28
82446550,2024-08-01,16:15:00.000,1.248
82446550,2024-08-01,16:30:00.000,2.96
82446550,2024-08-01,16:45:00.000,0.992
82446550,2024-08-01,17:00:00.000,1.196
82446550,2024-08-01,17:15:00.000,1.756
82446550,2024-08-01,17:30:00.000,0.868
82446550,2024-08-01,17:45:00.000,1.304
82446550,2024-08-01,18:00:00.000,1.74
82446550,2024-08-01,18:15:00.000,0.552
82446550,2024-08-01,18:30:00.000,1.448
82446550,2024-08-01,18:45:00.000,1.312
82446550,2024-08-01,19:00:00.000,0.856
82446550,2024-08-01,19:15:00.000,1.688
82446550,2024-08-01,19:30:00.000,1.388
82446550,2024-08-01,19:45:00.000,1.36
82446550,2024-08-01,20:00:00.000,2.068
82446550,2024-08-01,20:15:00.000,1.792
82446550,2024-08-01,20:30:00.000,1.496
82446550,2024-08-01,20:45:00.000,1.208
82446550,2024-08-01,21:00:00.000,0.904
82446550,2024-08-01,21:15:00.000,2.628
82446550,2024-08-01,21:30:00.000,1
82446550,2024-08-01,21:45:00.000,0.692
82446550,2024-08-01,22:00:00.000,1.44
82446550,2024-08-01,22:15:00.000,0.752
82446550,2024-08-01,22:30:00.000,0.616
82446550,2024-08-01,22:45:00.000,1.252
82446550,2024-08-01,23:00:00.000,0.24
82446550,2024-08-01,23:15:00.000,1.076
82446550,2024-08-01,23:30:00.000,0.156
82446550,2024-08-01,23:45:00.000,0.204
82446550,2024-08-02,00:00:00.000,0.828
